ANP,SECTOR,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,PROCEDENCIA,EDAD,FECHA,VISITAS_E1,VISITAS_E2A3,VISITAS_E3A30,FECHA_CORTE,TIPO_ESTADIA_PREDOMINANTE,ANIO,MES
PN Huascarán,Ulta,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,MENOR,20230331,38,0,0,20240527,1 día,2023,3
SN los Manglares de Tumbes,No especificado,TUMBES,ZARUMILLA,ZARUMILLA,240301.0,NACIONAL,ADULTO,20230531,16,0,0,20240527,1 día,2023,5
RN Tambopata,La Torre,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,170101.0,EXTRANJERO,MENOR,20230430,8,2,0,20240527,1 día,2023,4
RN San Fernando,No especificado,ICA,NASCA,CHANGUILLO,110302.0,EXTRANJERO,ADULTO,20230930,15,0,0,20240527,1 día,2023,9
RN Pacaya-Samiria,Nauta Caño,LORETO,LORETO,PARINARI,160302.0,NACIONAL,ADULTO,20230630,42,0,0,20240527,1 día,2023,6
PN Huascarán,Ulta,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20230331,17,0,0,20240527,1 día,2023,3
RN de Lachay,No especificado,LIMA,HUAURA,HUACHO,150801.0,EXTRANJERO,ADULTO,20231130,16,0,0,20240527,1 día,2023,11
RN Pampa Galeras Barbara D' Achille,No especificado,AYACUCHO,LUCANAS,LUCANAS,50611.0,NACIONAL,MENOR,20220831,9,0,0,20240527,1 día,2022,8
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,LOCAL,MENOR,20230930,106,0,0,20240527,1 día,2023,9
PN Huascarán,Carpa,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,NACIONAL,MENOR,20230731,999,0,0,20240527,1 día,2023,7
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Cavinza e Islotes Palomino,No especificado,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20220731,83,0,0,20240527,1 día,2022,7
PN Huascarán,Churup,ANCASH,HUARAZ,INDEPENDENCIA,20105.0,EXTRANJERO,ADULTO,20220731,1510,0,0,20240527,1 día,2022,7
"RN Sistema de Islas, Islotes y Puntas Guaneras",Islas Ballestas,No especificado,No especificado,No especificado,0.0,EXTRANJERO,MENOR,20220831,304,0,0,20240527,1 día,2022,8
RN San Fernando,No especificado,ICA,NASCA,CHANGUILLO,110302.0,LOCAL,ADULTO,20230831,18,0,0,20240527,1 día,2023,8
SH Machupicchu,Ruta 01,CUSCO,URUBAMBA,MACHUPICCHU,81304.0,NACIONAL,MENOR,20230531,0,0,1,20240527,3 a 30 días,2023,5
RN del Titicaca,Titino,PUNO,HUANCANE,HUANCANE,210601.0,NACIONAL,ADULTO,20221031,134,0,0,20240527,1 día,2022,10
